id,labels
5848,"369, 40, 8"
4339,"139, 53"
454,"13, 60"
11540,"53, 3"
17281,"74, 60"
2714,"13, 10, 54"
10097,"53, 3"
15806,"31, 128"
12132,"31, 120"
18263,"382, 24"
8700,"199, 169, 0"
10287,"74, 31"
10502,"40, 139, 194"
17008,"120, 3"
6448,"10, 11"
10692,"31, 24"
13852,"120, 15, 3"
11230,"199, 169"
3395,"194, 40, 139"
15343,"382, 111"
19300,"74, 38, 111"
2530,"382, 10"
11859,"32, 31"
2018,"24, 74"
12816,"53, 21"
19088,"40, 139"
2711,"40, 139, 38"
8981,"21, 53"
6471,"40, 13, 194"
9683,"31, 54, 402"
13897,"296, 218"
5631,"53, 32"
8934,"31, 40"
14825,"21, 3, 53"
10139,"3, 111"
10939,"13, 120"
1452,"10, 11, 24"
15348,"21, 3"
17992,"13, 3, 194"
13425,"128, 40"
7936,"194, 40, 21"
18593,"13, 21"
18479,"120, 3"
3389,"40, 31"
6337,"13, 3, 194"
14746,"74, 31"
3018,"60, 13, 31"
4011,"74, 31"
15485,"382, 38"
5189,"40, 139, 194"
4963,"382, 31"
19164,"31, 145"
14699,"3, 21"
106,"31, 60"
17866,"31, 120"
17166,"3, 13, 21"
17196,"38, 74"
3537,"41, 147"
12204,"60, 31, 120"
4227,"31, 24"
8001,"111, 74"
12117,"216, 0"
3956,"204, 13"
47,"10, 11"
7732,"3, 21, 128"
2811,"3, 53"
4599,"10, 221"
14403,"10, 221"
14340,"10, 31"
24,"208, 402, 54"
18750,"296, 300"
16071,"13, 53"
9400,"105, 53"
17235,"21, 3, 40"
761,"31, 13"
11405,"84, 105, 38"
1751,"31, 60"
6138,"3, 53, 194"
15517,"32, 31"
323,"111, 13, 21"
3418,"31, 402"
16147,"53, 3, 17"
13558,"105, 23"
10035,"13, 111"
7256,"40, 139"
18451,"38, 145"
1310,"139, 3, 40"
4141,"162, 40"
11725,"21, 31"
18082,"13, 31"
8020,"31, 145"
7439,"221, 105"
12256,"382, 24"
11352,"31, 402"
3655,"139, 13"
18981,"13, 3, 204"
10952,"30, 3"
6371,"74, 24"
6746,"60, 382"
9496,"53, 3, 15"
16459,"30, 3"
16655,"74, 38, 118"
14958,"382, 40"
12009,"111, 60"
12829,"13, 3"
8246,"11, 60"
19505,"24, 74"
2668,"3, 53, 120"
8506,"40, 139, 118"
11443,"3, 147, 120"
2971,"40, 21"
9301,"74, 31"
8041,"13, 31"
13749,"111, 24, 23"
14129,"74, 31"
17487,"31, 74"
16465,"296, 311"
7641,"53, 10"
9957,"13, 31"
4248,"120, 111"
18033,"162, 40"
12884,"208, 0, 31"
16420,"382, 24"
4237,"21, 53"
804,"53, 4"
7892,145
11422,"53, 3"
13585,"53, 3"
3228,"21, 170"
17848,"64, 120"
11795,"169, 311"
6061,"40, 139, 21"
9485,"120, 147"
10227,"40, 139"
7889,"32, 31"
4095,"38, 74, 23"
13636,"13, 204"
4331,"53, 38"
4993,"3, 120"
7816,"40, 139"
6064,"139, 30"
12235,"11, 120"
7565,"11, 64"
5153,"139, 40"
18192,"13, 31"
19264,"40, 195"
3083,"32, 21, 3"
5877,"32, 31"
17491,"31, 145, 64"
16764,"13, 3"
1886,"139, 40, 21"
11456,"13, 53"
3080,"31, 60"
2898,"21, 3, 40"
18943,"21, 139, 40"
14287,"32, 31"
3114,"53, 3"
19325,"21, 128"
10031,"208, 0"
7318,"382, 24"
18487,"221, 24"
14568,"32, 31"
10673,"31, 96, 145"
4880,"31, 402"
659,"13, 3, 21"
15411,"15, 13"
18158,"221, 24, 382"
2584,"120, 3"
17111,"382, 24"
3029,"13, 3"
2,"21, 187"
1930,"31, 60"
14767,"40, 139, 128"
1487,"24, 382"
4335,"60, 382"
13826,"3, 53"
2200,"139, 40, 13"
8301,"337, 169"
13203,"3, 53, 13"
4184,"96, 420, 258"
16423,"32, 31"
9936,"13, 3, 204"
3138,"120, 15"
14482,"3, 53, 120"
8793,"31, 54, 145"
9598,"60, 120"
276,"32, 31"
10697,"30, 28"
6245,"40, 38"
10154,"13, 120"
15448,"139, 31"
6596,"31, 0, 216"
926,"11, 64"
5793,"204, 13"
9312,"21, 3, 204"
1336,"13, 3, 21"
17974,"74, 118"
3713,"74, 38"
5426,"139, 21"
15028,"31, 40"
16728,"199, 128, 169"
10962,"199, 111"
4673,"74, 24"
12311,"40, 135"
9412,"31, 54, 145"
10953,"24, 382"
7031,"30, 3"
17025,"31, 10"
14657,"13, 3"
11209,"13, 60"
13229,"13, 31"
1905,"147, 3, 120"
9515,"60, 221"
4795,"221, 3"
19562,"221, 31"
60,"13, 31"
13090,"199, 169"
6402,"221, 3"
13835,"199, 169"
14058,"53, 3, 21"
18023,"74, 24"
1303,"30, 3, 21"
2822,"32, 31"
5488,"32, 31"
6682,"145, 31"
11963,"128, 296"
15324,"199, 169, 1"
3596,"296, 411, 300"
11497,"21, 139, 187"
18429,"111, 74"
7741,290
1102,"53, 111"
11724,"40, 139"
9256,"38, 118"
6608,"38, 118"
12131,"13, 21"
8723,"32, 31"
7879,"199, 169"
2497,"74, 60"
18549,"21, 0"
1316,"60, 120"
652,"221, 60"
5967,"24, 38, 145"
5219,"382, 10"
11913,"382, 10"
11344,"21, 194"
3574,"13, 21"
16685,"40, 139, 21"
15233,"13, 60"
8159,"40, 139"
15808,"21, 3, 187"
6503,"31, 96"
15667,"13, 31"
746,"60, 31"
5297,"38, 24, 382"
19190,"3, 53, 21"
17556,"10, 64"
478,"40, 139, 135"
15153,"13, 194"
3021,"13, 194, 204"
4435,"40, 139, 21"
783,"13, 60"
14195,"31, 32"
4056,"128, 21"
2211,"199, 169, 128"
11143,"21, 187, 53"
4628,"3, 53, 4"
9803,"30, 21, 3"
17968,"13, 3"
14968,"38, 74"
18138,"13, 3, 28"
4264,"3, 13, 120"
14236,"194, 40"
14720,"139, 40"
11647,"111, 31"
17887,"53, 3"
11446,"40, 139"
4961,"296, 128"
16212,"111, 120"
13395,"38, 74, 24"
14950,"31, 145"
9617,"221, 220"
4169,"3, 13, 4"
18314,"199, 169"
2600,"74, 135"
9133,"105, 23"
13415,"40, 129"
434,"31, 145"
3831,"120, 60"
2023,"120, 3"
12326,"128, 169"
15322,"74, 118"
15377,"40, 128"
1841,"3, 21, 194"
17390,"21, 40, 139"
8058,"3, 32"
15162,"3, 21, 120"
14524,"13, 3, 21"
18182,"21, 271"
5575,"105, 326"
18496,"40, 131, 315"
1506,"199, 128"
18433,"40, 76, 194"
4010,"74, 135"
16634,"31, 145"
2429,"13, 3"
12920,"32, 31"
1105,"382, 24, 10"
2718,"296, 169, 337"
3277,"32, 31"
266,"24, 74"
14457,"137, 38"
7706,"3, 15, 111"
1190,"32, 21"
4760,"74, 40"
5604,"38, 139"
8885,"40, 139"
1596,128
9968,"311, 169"
18702,"3, 4, 53"
18695,"21, 382"
9382,"21, 53"
2894,"38, 74, 23"
17657,"199, 169, 129"
45,"162, 40"
18196,"74, 38"
9583,"74, 38"
17233,"13, 3, 53"
11829,"11, 10, 24"
9864,"31, 0"
10442,"13, 145"
8300,"199, 169"
3184,"120, 148"
5840,"40, 241"
2367,"162, 40"
19641,"40, 76, 129"
16891,"24, 145, 54"
236,"30, 3"
1995,"382, 24"
12838,"40, 139"
10015,"3, 21, 108"
4200,"21, 3, 30"
7736,"23, 26"
2088,"139, 40"
8542,"31, 96"
11315,"105, 38"
14218,"170, 1"
16996,"13, 3"
15345,"15, 120"
4954,"31, 258, 96"
1704,"11, 10, 24"
7895,"13, 3, 204"
18386,"199, 128, 169"
11904,"21, 3, 40"
1175,"60, 31"
2011,"199, 169"
15594,"13, 21, 40"
12668,"139, 40"
14926,"13, 120"
202,"53, 3"
6656,"40, 139"
5676,"60, 13"
16899,"24, 382"
5695,"118, 231, 26"
4709,"74, 145"
1912,"40, 128"
16015,"74, 135, 382"
9926,"31, 40"
3677,"3, 53"
17171,"208, 0"
19275,"40, 139, 76"
4371,"3, 30, 28"
4911,"31, 54"
9338,"40, 139"
233,"3, 21"
15125,"40, 139"
13741,"21, 40, 194"
8646,"21, 3"
9148,"194, 208"
16726,"105, 326"
4571,"11, 10, 24"
12021,"96, 31"
5271,"40, 21"
19516,"40, 21, 139"
3695,"10, 31"
4044,"21, 194, 3"
8077,"13, 60"
7998,"21, 194"
16703,"13, 194"
6411,"38, 74"
12810,"0, 1, 277"
11799,"135, 40"
1292,"32, 31"
6307,"74, 38"
192,"169, 199, 128"
8182,"40, 139"
13778,"382, 74"
329,"199, 169"
14453,"24, 145"
3607,"40, 139, 135"
12882,"32, 31"
1091,"40, 139"
908,"13, 31"
16066,"21, 139"
11722,"3, 53"
7270,"105, 53"
5307,"74, 40"
13760,"40, 139"
5949,"208, 0"
4888,"120, 85"
5055,"3, 15"
9918,"21, 135"
6964,"40, 135, 139"
7550,"145, 54, 31"
16379,"0, 1"
6217,"31, 96"
4363,"0, 216"
16121,"3, 15, 120"
5807,"21, 128"
6034,"3, 53, 21"
12673,"11, 24"
19058,"11, 10, 24"
10667,"120, 3"
11471,"49, 24"
14276,"105, 53"
942,"120, 3, 15"
459,"40, 34, 187"
16207,"21, 3, 139"
1486,"53, 3, 21"
19172,"382, 24"
18116,"3, 21, 40"
2708,"206, 0, 216"
4197,"128, 21"
2176,"137, 38"
9307,"31, 208"
1761,"3, 53"
5632,"40, 129"
5556,"111, 31"
11925,"13, 53, 3"
10052,"199, 169"
2908,"3, 147, 120"
8802,"32, 31"
14222,"40, 139"
17824,"40, 139"
9437,"53, 128"
2958,"31, 128"
18567,"0, 216"
11235,"105, 23, 326"
6094,"31, 96"
13779,"128, 0"
12226,"170, 169"
4088,"38, 24, 382"
1188,"31, 32"
18303,"38, 74, 23"
14438,"120, 74"
12297,"32, 31"
16019,"139, 40"
17074,"38, 23, 74"
6678,"128, 40, 195"
11369,"53, 208"
5278,"199, 169, 128"
13218,"31, 145"
891,"3, 53, 15"
11881,"128, 288"
5525,"3, 21, 194"
4234,"13, 15"
12562,"32, 31"
8910,"32, 31"
9809,"120, 13, 60"
14245,"40, 38"
1239,"40, 139, 194"
9713,"74, 21"
8912,"30, 3"
10806,"24, 10, 382"
11406,"120, 3"
2712,"199, 169"
19163,"105, 53"
17397,"3, 139, 53"
7965,"13, 3, 194"
5164,"199, 169, 26"
5349,"31, 3, 21"
11942,"147, 3, 148"
15911,"162, 40"
524,"32, 31"
1701,"13, 3, 21"
15310,"139, 21"
9322,"49, 24"
3289,"162, 40"
14072,"53, 120"
1159,"120, 147"
17097,"21, 3, 40"
1673,"21, 187"
16961,"53, 51"
11949,"40, 139"
706,"40, 129"
5372,"31, 96"
18020,"38, 74, 23"
10266,"53, 194"
12013,"3, 21, 139"
18233,"74, 118, 23"
6830,"32, 31"
13125,"31, 128"
396,"38, 74, 80"
13531,"118, 23"
18844,"32, 31"
9692,"40, 139"
4125,"24, 145"
18007,"31, 8"
14602,"139, 40"
11697,"0, 216"
14937,"40, 139"
5146,"135, 38"
18636,"74, 135, 38"
18854,"13, 31"
4090,"32, 31"
18992,"220, 31"
2158,"40, 53"
19364,"145, 111"
15381,"0, 208, 271"
14050,"13, 3, 53"
4745,"21, 40"
1346,"199, 169, 26"
12414,"31, 145"
8870,"74, 118"
8053,"21, 139, 187"
14783,"3, 147"
2681,"169, 199"
8382,"40, 195"
15914,"139, 187"
8797,"13, 3, 21"
14213,"40, 139"
19585,"3, 21, 53"
4897,"60, 74"
4081,"11, 10, 24"
11437,"31, 96"
18482,"31, 194"
4723,"40, 21"
10556,"53, 31"
13335,"111, 135"
9316,"13, 3, 194"
13674,"32, 31"
11674,"74, 38"
19012,"118, 135"
815,"40, 76, 139"
6174,"120, 3, 30"
18484,"4, 53"
53,"53, 3"
5781,"3, 21, 40"
3492,"40, 21, 34"
13750,"296, 300"
14729,"13, 3"
9654,"31, 258"
11371,"40, 139"
258,"129, 31"
11188,"3, 13, 21"
11032,"96, 258"
4451,"145, 31"
3773,"3, 21, 194"
7869,"13, 3"
10024,"311, 296"
1993,"4, 120"
272,"24, 49, 32"
19104,"139, 40"
5680,"271, 0, 208"
12533,"10, 38, 382"
19349,"31, 24"
5718,"3, 15, 148"
13694,"137, 118"
9468,"135, 40, 139"
8952,"139, 40"
16902,"135, 139"
8759,"13, 3"
13686,"194, 13"
1080,"3, 21, 13"
6058,"334, 40"
17043,"21, 31"
14526,"40, 131, 184"
14062,"38, 74, 118"
19601,"199, 169, 26"
18354,"13, 120"
18747,"32, 111"
3293,"74, 145"
15492,"199, 169"
6493,"3, 21"
16109,"3, 120"
3115,"31, 60"
1416,"53, 15"
7891,"0, 1, 277"
18212,"382, 24"
13191,"3, 147, 120"
17360,"135, 74"
6256,"135, 40, 139"
3576,"128, 145"
9369,"13, 3, 204"
14721,"31, 54, 402"
10898,"32, 31"
16376,"31, 145"
12892,"128, 169"
12309,"8, 31"
11355,"3, 21, 40"
13632,"74, 40"
7514,"32, 38"
18673,"128, 271"
7244,"13, 3"
10710,"3, 53"
9300,"53, 3"
920,"3, 120"
14204,"420, 258, 96"
14391,"199, 169"
12110,"21, 3, 32"
7388,"49, 24, 31"
12707,"21, 53"
12967,"147, 3, 120"
9139,"11, 10, 24"
1739,"21, 3, 13"
13727,"13, 3, 194"
16584,"3, 194, 21"
17231,"105, 326"
17914,"148, 3"
5170,"40, 208"
4098,"32, 30"
5199,"31, 258"
19231,"53, 3"
6566,"40, 139, 76"
4680,"38, 74"
14646,"13, 120"
13663,"3, 15, 53"
12624,"10, 11, 24"
15625,"40, 129"
438,"128, 162, 131"
5598,"40, 139"
16616,"111, 38"
18741,"120, 3"
1868,"38, 74, 24"
9931,"199, 169, 0"
921,"10, 145, 31"
1674,"105, 53"
6482,"411, 296"
15961,"21, 135"
16282,"32, 31"
8495,"49, 24"
1853,"13, 3"
2340,"24, 74"
13844,"40, 76, 129"
15992,"24, 145, 31"
1653,"128, 216"
9915,"3, 13"
4358,"13, 194"
19245,"38, 382"
7912,"74, 24"
18769,"53, 120"
14203,"21, 3, 194"
18249,"31, 40"
7933,"3, 21"
5462,"41, 74"
3015,"139, 40"
547,"118, 135"
15221,"0, 216"
8963,"105, 326"
4512,"24, 10"
5159,"105, 326"
18519,"290, 31"
12253,"21, 3, 111"
14094,"38, 74, 23"
57,"60, 31"
12193,"40, 137"
12642,"40, 76, 139"
1269,"21, 3, 30"
999,"62, 74"
9828,"40, 139"
12258,"420, 96"
18735,"3, 194"
13917,"31, 54"
4655,"3, 15"
7813,"199, 169"
10680,"199, 169"
1095,"199, 169"
7413,"3, 15"
17800,"139, 40"
4343,"131, 184, 40"
895,"53, 3, 21"
13546,"32, 31"
643,"40, 139"
3444,"38, 74, 23"
2557,"3, 120, 53"
3318,"15, 151"
17433,"32, 31"
11340,"199, 41"
757,"162, 74"
5254,"32, 38, 74"
2345,"3, 120"
7971,"40, 139"
297,"40, 139"
13014,"15, 3, 17"
12904,"40, 41, 315"
4603,"105, 221, 38"
4780,"21, 187"
14220,"21, 3, 13"
1690,"3, 53, 34"
11416,"120, 111"
1838,"147, 30"
12628,"24, 38, 74"
5818,"31, 296"
10001,"120, 3, 16"
17103,"199, 170, 169"
10902,"40, 76, 139"
14175,"21, 3, 139"
7687,"3, 15, 120"
14326,"31, 41"
931,"208, 0"
11828,"139, 135"
1790,"135, 40"
9740,"13, 3, 40"
19458,"3, 21, 34"
14483,"145, 40, 194"
1280,"0, 208"
18031,"3, 40, 194"
3885,"13, 3"
2798,"194, 13"
19281,"162, 40"
2937,"53, 3"
19410,"204, 13, 3"
6154,"96, 258"
9214,"54, 31"
18467,"24, 382, 221"
6002,"53, 105"
7676,"128, 0"
3071,"40, 139"
14374,"13, 31"
5396,"74, 118, 23"
1875,"40, 139"
9421,"199, 169, 1"
9138,"32, 31"
3263,"199, 40"
3117,"40, 131"
13418,"74, 38"
4133,"40, 139"
165,"128, 288"
3386,"162, 40"
101,"105, 23, 326"
4320,"74, 118"
9225,"53, 105"
18978,"38, 74"
15841,"34, 199"
5940,"0, 208"
7197,"31, 60"
1003,"31, 54"
12918,"139, 118"
1069,"194, 111"
7921,"220, 10"
2535,"40, 139, 76"
12537,"40, 139, 135"
14183,"32, 31"
1520,"382, 24"
18259,"111, 74"
922,"3, 120, 30"
14910,"3, 5, 13"
1446,"118, 231, 26"
16995,"24, 54"
6451,"40, 135, 139"
17351,"3, 148"
16106,"31, 80"
5759,"199, 169, 128"
16154,"0, 216, 313"
15277,"21, 30, 3"
13966,"53, 194"
19374,"120, 147"
8070,"17, 21, 3"
3641,"53, 3"
10598,"74, 38"
12389,"31, 40, 96"
3855,"49, 24"
18296,"3, 21, 53"
6696,"85, 86, 3"
13210,"3, 120"
8367,"32, 31"
3093,"32, 31"
8482,"0, 8, 31"
11183,"49, 24, 38"
15010,"21, 187"
6871,"40, 131, 162"
13350,"38, 74, 382"
8892,"199, 169"
598,"85, 15"
1305,"194, 21, 40"
6349,"53, 3"
7167,"382, 24"
19403,"24, 38"
9595,"32, 31"
714,"40, 21"
1814,"31, 0, 216"
4868,"32, 31"
4592,"3, 4"
15506,"199, 169"
14670,"13, 24, 38"
1759,"118, 231, 23"
4853,"74, 135"
9077,"208, 0, 296"
7146,"71, 24, 23"
2097,"40, 139"
4616,"53, 3"
1950,"74, 38, 111"
9107,"10, 11, 60"
1563,"74, 38, 23"
2869,"105, 23, 38"
